text,label
"**""บางครั้ง... ความฝันก็เหมือนสายลมที่ค่อยๆ โอบกอดเราไว้โดยไม่รู้ตัว แล้วในวันหนึ่ง มันก็ผุดขึ้นมาเบื้องหน้า ราวกับปาฏิหาริย์ที่เราคาดไม่ถึง นี่คือความจริงหรือ? หรือว่าเรายังหลับตาอยู่...""**  

(ข้อความนี้สื่อถึงความประหลาดใจที่เจอสิ่งที่ฝันไว้เป็นจริง โดยใช้ภาษาที่ละเมียดละไมและให้ความรู้สึกเหมือนเรื่องราวกำลังค่อยๆ เผุดขึ้นในหัว)",sentiment
"""สุดยอดเลย! วันนี้ได้เห็นข่าวรัฐบาลประกาศนโยบายใหม่ที่จะช่วยลดค่าครองชีพให้ประชาชน ดีใจจริงๆ ที่ผู้ใหญ่บ้านเริ่มฟังเสียงประชาชนมากขึ้น 😊 นี่แหละการเมืองที่ดีที่เรารอคอย! #ความสุขเล็กๆของประชาชน""  

(ข้อความนี้แสดงความสุขและความหวังจากการเปลี่ยนแปลงทางการเมืองในทางบวก โดยใช้ภาษาที่เป็นกันเองและมีอารมณ์ร่วม)",sentiment
"""วันนี้ทำงานเสร็จไวมากเลยค่ะ! โปรเจกต์ที่ทำมาทั้งอาทิตย์ผ่านการอนุมัติเรียบร้อยแล้ว เจ้านายชมว่าทำงานดีมาก แถมเพื่อนร่วมทีมยังซื้อเค้กมาเลี้ยงฉลองให้ด้วย อารมณ์ดีจนอยากเต้นรำไปทั้งวันเลย~ 😊🎉""  

(ข้อความนี้แสดงอารมณ์สุขใจผ่านเหตุการณ์เชิงบวกในการทำงาน ใช้ภาษาธรรมชาติ พร้อมอีโมจิและเครื่องหมายวรรคตอนช่วยเสริมอารมณ์)",sentiment
"**""ครอบครัวของฉันคือของขวัญล้ำค่าที่สุดในชีวิต...**  

ทุกครั้งที่รู้สึกเหนื่อยหรือท้อแท้ แค่ได้เห็นรอยยิ้มและความห่วงใยจากทุกคนก็ทำให้ใจอุ่นขึ้นเสมอ ขอบคุณสำหรับความเข้าใจที่ไม่มีเงื่อนไข ขอบคุณสำหรับกำลังใจที่มอบให้กันไม่เคยขาด และขอบคุณสำหรับทุกช่วงเวลาดีๆ ที่เรามีร่วมกัน ไม่ว่าจะสุขหรือทุกข์ รู้สึกดีใจจริงๆ ที่โชคชะตาให้เราได้เป็นส่วนหนึ่งของกันและกัน ❤️  

ครอบครัว... คือสถานที่ที่แม้โลกจะหมุน",sentiment
"**หัวใจเต้นระรัว...**  

มือสั่นเมื่อกดปิดแจ้งเตือนบนหน้าจอ ผลตรวจเลือดที่ส่งมาจากโรงพยาบาลยังคงเป็นตัวหนังสือเบลอๆ เหมือนฝันร้ายที่ไม่อยากยอมรับ ความกลัวค่อยๆ คลืบคลานจากปลายเท้าสู่สมอง เป็นความหนาวเหน็บที่ไม่มีเสื้อผ้าอะไรห่มไว้ได้  

""ถ้าวันนี้...ร่างกายกำลังบอกอะไรบางอย่าง?""  

คำถามนี้กระพือในหัวเหมือนนกกลางพายุ ภาพหมอพยักหน้าแบบนั้น แวบขึ้นมาพร้อมเสียงเข็มฉ",sentiment
"**หัวใจเต้นแรงทุกครั้งที่เห็นยอดบัญชี**  

ตัวเลขในสมุดบัญชีลดลงทุกวันเหมือนทรายในนาฬิกาทรายที่กำลังร่วงหล่น... เงินเก็บที่อุตส่าห์สะสมมาทั้งชีวิตอาจจะไม่พอแม้แต่กับค่ารักษาพยาบาลเมื่อยามเจ็บป่วย ความกลัวนี้คอยกัดกร่อนจิตใจทุกค่ำคืน  

""เดือนหน้าจะจ่ายค่าเทอมลูกไหวหรือเปล่า?"" คำถามนี้ผุดขึ้นมาในหัวเสมอเวลาก้มดูสลิปเงินเดือนที่บางเบา ค่าครองชีพที่พุ่ง",sentiment
"""เฮ้ย! นี่มันอะไรกันเนี่ย?! กรรมการตาบอดหรือไง? ลูกนั้นออกชัดๆ จะบ้าไปแล้ว! แบบนี้ก็ได้เหรอ? สนามเราก็เล่นเต็มที่ ฝึกมาหนักหนา แต่สุดท้ายแพ้เพราะกรรมการไม่ยุติธรรม! โคตรโมโหเลยนะ ไม่ใช่แค่ครั้งสองครั้งแล้ว แต่เป็นแบบนี้ตลอด! ถ้าจะให้กีฬาพัฒนาต้องเริ่มที่คนตัดสินก่อน แล้วเมื่อไหร่จะเลิกมีเรื่องแบบนี้ซะที?!""  

(ใช้คำหยาบคายและเครื่องหมายวรรคตอนเพื่อแสดงความโกร",sentiment
"**หัวใจที่เต้นตามจอเงิน**  

บางครั้ง แค่แสงสลัวๆ ในโรงภาพยนตร์ ก็ทำให้โลกทั้งใบเปลี่ยนไป...  

ทุกครั้งที่หนังเริ่มฉาย ฉันรู้สึกเหมือนได้หลับตาแล้วตกลงไปในอีกโลกหนึ่ง เสียงเพลงประกอบแผ่วเบา ภาพที่ค่อยๆ ลอยมา ดวงตาที่จ้องไม่กระพริบ มือที่เผลอแตะหน้าอกเมื่อตัวละครพูดอะไรบางอย่างที่ตรงใจเหลือเกิน  

มันไม่ใช่แค่เรื่องราวที่เล่าผ่านฟิล์มหรือพิกเซล แต่เป็นความรู้สึกที่ค่อยๆ ซึมเข้าไปในเส้น",sentiment
"**""เราภูมิใจจริงๆ ที่ได้เป็นส่วนหนึ่งของสังคมไทยที่เต็มไปด้วยน้ำใจและความสามัคคี ไม่ว่าจะผ่านวิกฤตอะไรมา เราก็ยืนหยัดอยู่ข้างกันเสมอ การช่วยเหลือเกื้อกูลกันในยามยาก การแบ่งปันแม้มีน้อย นี่คือคุณค่าที่ทำให้สังคมของเราสวยงาม และน่าภูมิใจที่สุด!""**  

หรือถ้าต้องการโทนเสียงที่กระชับกว่า:  
**""สังคมเราเจ๋งจริงนะ! ทุกคนร่วมแรงร่วมใจ ช่วยกันพัฒนาจนกลายเป็นแบบอย่างที่ดี ใครๆ ก็ต้องทึ่ง",sentiment
"""วันนี้ทำงานเสร็จไวมากเลยค่ะ! ได้รับคำชมจากหัวหน้าด้วย แถมโปรเจกต์ที่ทุ่มเทมาทั้งเดือนก็ผ่านการอนุมัติเรียบร้อยแล้ว รู้สึกมีความสุขสุดๆ เหมือนมีแรงบันดาลใจพุ่งปรี๊ด! 😊🎉 จะเลี้ยงทีมงานข้าวเย็นนี้ด้วยนะ ดีใจจริงๆ ที่ทุกอย่างลงตัวแบบนี้!""",sentiment
